gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00019497	GPX4	GPX4	control	treated	0	1
geneComp_00029052	PRKCSH	PRKCSH	control	treated	0	2
geneComp_00037767	YKT6	YKT6	control	treated	4.8695560113925e-118	3
geneComp_00019242	GNB2	GNB2	control	treated	4.83790143718092e-87	4
geneComp_00028008	PELP1	PELP1	control	treated	1.45476055848223e-71	5
geneComp_00034289	SOCS7	SOCS7	control	treated	9.81923370175585e-60	6
geneComp_00014645	CDC25B	CDC25B	control	treated	1.01946044925442e-59	7
geneComp_00038105	ZFP36	ZFP36	control	treated	2.82319016212461e-51	8
geneComp_00014431	CCDC91	CCDC91	control	treated	5.23908795376604e-51	9
geneComp_00012431	AP2A1	AP2A1	control	treated	7.76290301013766e-51	10
geneComp_00036755	TUBB6	TUBB6	control	treated	2.89292447303554e-45	11
geneComp_00016335	DCTN1	DCTN1	control	treated	1.6819852964686e-42	12
geneComp_00024294	MAZ	MAZ	control	treated	3.02096826028371e-36	13
geneComp_00026403	NFIC	NFIC	control	treated	2.48298578715889e-32	14
geneComp_00026980	OAZ2	OAZ2	control	treated	3.31360112562595e-32	15
geneComp_00020057	HGS	HGS	control	treated	5.05217415945883e-30	16
geneComp_00024598	MICAL1	MICAL1	control	treated	1.34066765727375e-28	17
geneComp_00015389	CNEP1R1	CNEP1R1	control	treated	9.29936636145532e-25	18
geneComp_00033348	SLC12A4	SLC12A4	control	treated	7.06409908408796e-24	19
geneComp_00013205	BBS4	BBS4	control	treated	1.49749630187e-23	20
geneComp_00035761	TMCO6	TMCO6	control	treated	1.6526057730788e-23	21
geneComp_00024585	MGST1	MGST1	control	treated	1.18340401603602e-21	22
geneComp_00025308	MPHOSPH6	MPHOSPH6	control	treated	1.72216658778782e-21	23
geneComp_00018486	FNBP1	FNBP1	control	treated	1.74321266677248e-21	24
geneComp_00037669	WWP2	WWP2	control	treated	1.60163513665179e-20	25
geneComp_00015759	CREBBP	CREBBP	control	treated	1.68692734054868e-20	26
geneComp_00018811	GABRB3	GABRB3	control	treated	2.73526839941834e-20	27
geneComp_00028684	POMGNT2	POMGNT2	control	treated	4.01391383097359e-20	28
geneComp_00017689	ETFRF1	ETFRF1	control	treated	1.01885707265492e-19	29
geneComp_00028023	PEX10	PEX10	control	treated	1.04546947676942e-19	30
geneComp_00018190	FBRSL1	FBRSL1	control	treated	1.08459723375267e-19	31
geneComp_00019390	GPD2	GPD2	control	treated	1.78629961426873e-19	32
geneComp_00017535	EPB41L5	EPB41L5	control	treated	1.79422296214247e-19	33
geneComp_00036318	TRAK1	TRAK1	control	treated	7.38554634976801e-19	34
geneComp_00017751	EXT2	EXT2	control	treated	6.11881084832072e-18	35
geneComp_00035671	TJAP1	TJAP1	control	treated	1.04146430875059e-17	36
geneComp_00022149	LINC00216	LINC00216	control	treated	2.06693458524553e-17	37
geneComp_00015112	CHPT1	CHPT1	control	treated	2.38945995584335e-17	38
geneComp_00014869	CENPO	CENPO	control	treated	1.16088023057316e-16	39
geneComp_00028393	PLAGL1	PLAGL1	control	treated	4.89744765525001e-16	40
geneComp_00023684	LMBRD2	LMBRD2	control	treated	8.93132161835744e-16	41
geneComp_00028241	PIGT	PIGT	control	treated	9.86942117982458e-16	42
