"SRR11578970"	"SRR11578981"	"SRR11578976"	"SRR11578973"	"SRR11578979"	"SRR11578980"	"SRR11578975"	"SRR11578972"	"SRR11578978"	"SRR11578977"	"SRR11578974"	"SRR11578971"
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	8	7	7	7	7	7	7	7
8	8	8	7	8	8	8	8	8	8	8	8
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	8	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
71	74	58	40	73	65	59	41	63	74	55	40
9	9	8	8	9	8	9	8	8	9	8	8
9	9	8	8	9	8	9	8	8	9	9	8
7	8	7	7	8	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
8	9	8	8	8	8	8	8	8	8	8	8
7	7	7	7	7	7	7	7	7	7	7	7
9	13	10	10	8	8	12	10	8	12	12	8
11	7	7	7	11	10	7	7	10	7	7	9
16	15	12	9	17	13	12	11	16	14	12	9
23	25	21	17	24	18	24	17	19	23	23	15
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	8	7	7	8	7	7	7	7	7	8	7
10	10	10	8	10	9	9	8	9	10	9	8
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	8	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
8	8	8	7	9	8	8	7	7	8	9	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
21	22	19	12	22	14	19	12	14	22	23	11
70	69	59	51	69	57	63	52	66	63	58	45
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
48	47	47	45	57	43	43	45	57	48	49	35
17	17	15	14	18	16	15	14	16	17	16	14
7	7	7	7	7	7	7	7	7	7	7	7
8	7	7	7	7	7	7	7	7	7	7	7
13	13	12	10	13	13	12	10	12	14	12	10
7	7	7	7	7	7	7	7	7	7	7	7
13	15	8	10	14	11	12	10	11	12	15	10
8	9	8	8	9	8	8	8	8	9	8	7
24	20	25	20	23	20	22	20	22	25	17	21
8	7	8	7	8	9	8	7	7	7	7	9
7	7	7	8	7	8	7	7	8	7	8	7
7	7	7	7	7	7	7	7	7	7	7	7
16	17	18	15	15	18	13	22	18	16	17	22
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	8	7	7	7	7	8	7	7	7	7	8
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	8	7	7	8	7
10	9	8	8	9	8	8	7	8	9	9	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
18	17	17	14	18	15	18	14	16	17	17	13
7	7	7	7	7	7	7	7	7	7	7	7
13	9	9	13	12	8	10	12	12	10	12	10
19	21	16	12	20	16	17	13	18	20	15	11
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
17	7	11	9	13	7	16	7	8	11	14	8
7	7	7	7	7	7	7	7	7	7	7	7
15	13	16	12	14	11	14	13	14	16	12	10
7	13	7	7	11	13	7	7	7	7	7	11
7	7	7	7	7	7	7	7	7	7	7	7
8	8	7	8	8	7	8	8	8	8	8	7
7	7	7	7	7	7	7	7	7	7	8	7
10	12	7	12	9	11	8	13	12	11	8	8
7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7
