iso_ref	gene_ref	isoform_id	gene_id	gene_name	condition_1	condition_2	IF1	IF2	dIF	isoform_switch_q_value	Rank
isoComp_00060593	geneComp_00019497	ENST00000354171.13	GPX4	GPX4	control	treated	0	0.463	0.463	0	1
isoComp_00105478	geneComp_00029052	ENST00000677123.1	PRKCSH	PRKCSH	control	treated	0	0.262	0.262	0	2
isoComp_00105474	geneComp_00029052	ENST00000592741.5	PRKCSH	PRKCSH	control	treated	0.278	0	-0.278	8.8673637030205e-256	3
isoComp_00060602	geneComp_00019497	ENST00000611653.4	GPX4	GPX4	control	treated	0.43	0	-0.43	1.16282503644771e-159	4
isoComp_00145791	geneComp_00037767	ENST00000679209.1	YKT6	YKT6	control	treated	0.007	0.306	0.299	4.8695560113925e-118	5
isoComp_00059481	geneComp_00019242	ENST00000419828.5	GNB2	GNB2	control	treated	0	0.276	0.276	4.83790143718092e-87	6
isoComp_00099128	geneComp_00028008	ENST00000301396.8	PELP1	PELP1	control	treated	0.465	0.003	-0.462	1.45476055848223e-71	7
isoComp_00125751	geneComp_00034289	ENST00000665913.1	SOCS7	SOCS7	control	treated	0.509	0	-0.509	9.81923370175585e-60	8
isoComp_00034104	geneComp_00014645	ENST00000379598.9	CDC25B	CDC25B	control	treated	0.258	0	-0.258	1.01946044925442e-59	9
isoComp_00147074	geneComp_00038105	ENST00000652583.1	ZFP36	ZFP36	control	treated	0.443	0	-0.443	2.82319016212461e-51	10
isoComp_00032943	geneComp_00014431	ENST00000540401.5	CCDC91	CCDC91	control	treated	0.11	0	-0.11	5.23908795376604e-51	11
isoComp_00021791	geneComp_00012431	ENST00000359032.9	AP2A1	AP2A1	control	treated	0	0.244	0.244	7.76290301013766e-51	12
isoComp_00125747	geneComp_00034289	ENST00000612932.6	SOCS7	SOCS7	control	treated	0	0.513	0.513	9.25356394444392e-48	13
isoComp_00139758	geneComp_00036755	ENST00000591208.1	TUBB6	TUBB6	control	treated	0	0.1	0.1	2.89292447303554e-45	14
isoComp_00043468	geneComp_00016335	ENST00000409567.7	DCTN1	DCTN1	control	treated	0	0.137	0.137	1.6819852964686e-42	15
isoComp_00147072	geneComp_00038105	ENST00000597629.3	ZFP36	ZFP36	control	treated	0.506	0.946	0.439	7.12123766156378e-38	16
isoComp_00081502	geneComp_00024294	ENST00000562337.5	MAZ	MAZ	control	treated	0.147	0.002	-0.146	3.02096826028371e-36	17
isoComp_00145782	geneComp_00037767	ENST00000223369.3	YKT6	YKT6	control	treated	0.43	0.114	-0.315	6.56481794052285e-33	18
isoComp_00091744	geneComp_00026403	ENST00000641145.1	NFIC	NFIC	control	treated	0.002	0.27	0.268	2.48298578715889e-32	19
isoComp_00094987	geneComp_00026980	ENST00000560258.6	OAZ2	OAZ2	control	treated	0	0.133	0.133	3.31360112562595e-32	20
isoComp_00091737	geneComp_00026403	ENST00000443272.3	NFIC	NFIC	control	treated	0.187	0	-0.187	7.9197355805514e-31	21
isoComp_00063384	geneComp_00020057	ENST00000677472.1	HGS	HGS	control	treated	0.213	0	-0.213	5.05217415945883e-30	22
isoComp_00083798	geneComp_00024598	ENST00000630715.2	MICAL1	MICAL1	control	treated	0.005	0.294	0.289	1.34066765727375e-28	23
isoComp_00105476	geneComp_00029052	ENST00000593104.5	PRKCSH	PRKCSH	control	treated	0.026	0.188	0.161	1.04113590951872e-27	24
isoComp_00099139	geneComp_00028008	ENST00000574876.5	PELP1	PELP1	control	treated	0	0.462	0.462	6.31291296048287e-25	25
isoComp_00038294	geneComp_00015389	ENST00000427478.6	CNEP1R1	CNEP1R1	control	treated	0.137	0	-0.137	9.29936636145532e-25	26
isoComp_00121276	geneComp_00033348	ENST00000422611.6	SLC12A4	SLC12A4	control	treated	0.175	0	-0.175	7.06409908408796e-24	27
isoComp_00134384	geneComp_00035761	ENST00000252100.6	TMCO6	TMCO6	control	treated	0	0.142	0.142	1.6526057730788e-23	28
isoComp_00083792	geneComp_00024598	ENST00000358577.7	MICAL1	MICAL1	control	treated	0.259	0	-0.259	3.0539230650284e-22	29
isoComp_00083660	geneComp_00024585	ENST00000396207.1	MGST1	MGST1	control	treated	0	0.126	0.126	1.18340401603602e-21	30
isoComp_00055840	geneComp_00018486	ENST00000491905.1	FNBP1	FNBP1	control	treated	0.249	0	-0.249	1.74321266677248e-21	31
isoComp_00144901	geneComp_00037669	ENST00000356003.6	WWP2	WWP2	control	treated	0.002	0.12	0.118	1.60163513665179e-20	32
isoComp_00040398	geneComp_00015759	ENST00000635919.1	CREBBP	CREBBP	control	treated	0.319	0	-0.319	1.68692734054868e-20	33
isoComp_00057172	geneComp_00018811	ENST00000636690.1	GABRB3	GABRB3	control	treated	0.86	0	-0.86	2.73526839941834e-20	34
isoComp_00103402	geneComp_00028684	ENST00000344697.3	POMGNT2	POMGNT2	control	treated	1	0.501	-0.499	4.01391383097359e-20	35
isoComp_00051826	geneComp_00017689	ENST00000555711.6	ETFRF1	ETFRF1	control	treated	0.112	0	-0.112	1.01885707265492e-19	36
isoComp_00099236	geneComp_00028023	ENST00000650293.1	PEX10	PEX10	control	treated	0.532	0	-0.532	1.04546947676942e-19	37
isoComp_00054228	geneComp_00018190	ENST00000543453.1	FBRSL1	FBRSL1	control	treated	0.632	0.346	-0.286	1.08459723375267e-19	38
isoComp_00060165	geneComp_00019390	ENST00000496190.1	GPD2	GPD2	control	treated	0	0.143	0.143	1.78629961426873e-19	39
isoComp_00050905	geneComp_00017535	ENST00000489017.5	EPB41L5	EPB41L5	control	treated	0	0.145	0.145	1.79422296214247e-19	40
isoComp_00137407	geneComp_00036318	ENST00000396175.5	TRAK1	TRAK1	control	treated	0	0.108	0.108	7.38554634976801e-19	41
isoComp_00052259	geneComp_00017751	ENST00000534048.1	EXT2	EXT2	control	treated	0.003	0.112	0.109	6.11881084832072e-18	42
isoComp_00133754	geneComp_00035671	ENST00000459851.5	TJAP1	TJAP1	control	treated	0	0.127	0.127	1.04146430875059e-17	43
isoComp_00073355	geneComp_00022149	ENST00000623548.1	LINC00216	LINC00216	control	treated	1	0	-1	2.06693458524553e-17	44
isoComp_00036772	geneComp_00015112	ENST00000552351.5	CHPT1	CHPT1	control	treated	0	0.139	0.139	2.38945995584335e-17	45
isoComp_00103403	geneComp_00028684	ENST00000441964.1	POMGNT2	POMGNT2	control	treated	0	0.499	0.499	1.14302041608299e-16	46
isoComp_00035186	geneComp_00014869	ENST00000395845.2	CENPO	CENPO	control	treated	0	0.116	0.116	1.16088023057316e-16	47
isoComp_00101516	geneComp_00028393	ENST00000444202.5	PLAGL1	PLAGL1	control	treated	0	0.117	0.117	4.89744765525001e-16	48
isoComp_00078104	geneComp_00023684	ENST00000296603.5	LMBRD2	LMBRD2	control	treated	0.617	0.832	0.215	8.93132161835744e-16	49
isoComp_00100622	geneComp_00028241	ENST00000638537.1	PIGT	PIGT	control	treated	0	0.112	0.112	9.86942117982458e-16	50
isoComp_00103217	geneComp_00028647	ENST00000405557.5	POLR2F	POLR2F	control	treated	0.215	0	-0.215	1.08374769195761e-15	51
