Splicing Factor	Gene	Aliases	GeneID	HomoloGene	Uniprot	Binding Domain(s)	MIM	Protein Interactors	Chemical Interactors	Expression	CLIP	
9G8	SFRS7	splicing factor arginine/serine-rich 7 35kDa, AAG3, HSSG1, RBM37, ZCRB2, ZCCHC20	6432	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=6432	Q16629	1 RRM (RNA recognition motif) domain; 1 CCHC-type zinc finger domain		CDK6, ESR1, GABARAP, GABARAPL1, GABARAPL2, HDGF, IFIT3, MAP1LC3A, MAP1LC3B, NXF1, RBBP6 (IntAct Database); NXF1, SF3A2 (STRING Database); CDC5L, NXF1, SF3A2, SNW1 (MINT Database); CCNL2, CDC2L2, CDK19, CPSF6, DUSP11, NXF1, PCBP2, SFRS12 (HPRD Database, Direct); AMOTL1, ARID1A, C19orf2, CAD, CHTF18, CPSF1, CPSF6, DDX3X, DHX30, DIAPH1, EPRS, GRINL1A, HNRNPK, HNRNPL, HNRNPU, HNRNPUL1, NEDD4, NUDT21, PDCD7, POLR2A, POLR2B, POLR2C, POLR2E, POLR3A, PRPF8, RAPGEF2, RPAP2, RPAP3, RPS3A, SMARCC1, SNRNP25, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, THRAP3, WBP2, YBX1 (HPRD Database, Complex); CDK19, DUSP11, KIAA0101, NEDD4, RBBP6, RBM39, RNPS1, SREK1, SRRM1, SUMO1, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=309090&LLNO=6432,http://www.proteinatlas.org/ENSG00000115875,http://www.hprd.org/summary?hprd_id=08991&isoform_id=08991_3&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=54881,55094,55415,56855,61575,62174,62619,62911,66594,66807,67128,68568,73288,73887,74332,74624,101052,103714,123675&ptm_id=8187,8188,8189,8190,8191,8192&loc_id=,		
CUG-BP1	CUGBP1	CUG triplet repeat RNA binding protein 1, CUGBP, NAB50, CUG-BP, hNab50, BRUNOL2.	10658	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10658	Q92879	3 RRM (RNA recognition motif) domains	Myotonic distrophy (DM) [MIM:160900]	FUBP1, PPBP, TOM1L1, USP10 (IntAct Database); FUBP1, HNRNPC, HNRNPH1, MBNL1, PPBP, RALY, TOM1L1 (MINT Database); DMPK, FUBP1, PPBP, TOM1L1 (HPRD Database, Direct); FUBP1, PPBP, TOM1L1, UBC, USP10 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=632137&LLNO=10658,http://www.proteinatlas.org/ENSG00000149187,http://www.hprd.org/summary?hprd_id=03046&isoform_id=03046_1&isoform_name=Isoform_2,http://www.humanproteinpedia.org/molecule_details?exp_id=55324,67037,92680,92681,103542&ptm_id=&loc_id= ,		
DAZAP1	DAZAP1	DAZ associated protein 1	26528	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=26528	Q96EP5	2 RRM (RNA recognition motif) domains		GABARAP, GABARAPL1, GABARAPL2, MAP1LC3A, MAP1LC3B, RAD52 (IntAct Database); DAZ1, DAZL (HPRD Database, Direct); CPSF7, EWSR1, ITCH, PABPC1, SF1, SMARCE1, SPG20, UBAP2, UBAP2L (HPRD Database, Complex); DAZ1, DAZL, ITCH, KIAA0101, SUMO2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=222510&LLNO=26528,http://www.proteinatlas.org/ENSG00000071626,http://www.hprd.org/summary?hprd_id=08462&isoform_id=08462_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=83994,104625&ptm_id=&loc_id=,		
ETR-3	CUGBP2	CUG triplet repeat RNA binding protein 2, NAPOR, BRUNOL3	10659	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10659	O95319	3 RRM (RNA recognition motif) domains		PCBP1 (IntAct Database); PCBP1 (MINT Database); A1CF, APOBEC1, PCBP1 (HPRD Database, Direct); A1CF, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=309288&LLNO=10659,http://www.proteinatlas.org/ENSG00000048740,http://www.hprd.org/summary?hprd_id=03964&isoform_id=03964_2&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=55163,66876&ptm_id=&loc_id=,		
FMRP	FMR1	fragile X mental retardation 1, POF, POF1, FRAXA, MGC87458	2332	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=2332	Q06787	2 KH domains	Fragile X syndrome [MIM:300624]. Fragile X tremor/ataxia syndrome (FXTAS) [MIM:300623].	CYFIP1, CYFIP2, ESR1, ESR2, PRKAA1, STAU1 (IntAct Database); CYFIP2, FXR1, FXR2, NUFIP1, NUFIP2 (STRING Database); NUFIP2 (DIP Database); CYFIP1, CYFIP2, EIF2C1, HABP4 (MINT Database); CYFIP1, CYFIP2, FXR1, FXR2, NCL, NUFIP1, NUFIP2, RANBP9, STAU1, UBE2I, YBX1 (HPRD Database, Direct); ELAVL1, ELAVL2, ELAVL3, ELAVL4, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPH2, HNRNPR, HNRNPU, MYO5A, NCL, PABPC1, PURA, STAU1, UPF1 (HPRD Database, Complex); CALCOCO2, CYFIP1, CYFIP2, FMR1, FXR1, FXR2, NCL, NUFIP1, NUFIP2, PRKAA1, STAU1, TBK1, TBKBP1, UBC, UBE2I, ZBP1 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=103183&LLNO=2332,http://www.proteinatlas.org/ENSG00000102081,http://www.hprd.org/summary?hprd_id=02398&isoform_id=02398_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=95991,95992&ptm_id=&loc_id=,		
Fox-1	A2BP1	ataxin 2-binding protein 1, HRNBP1, FOX1	54715	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=54715	Q9NWB1	1 RRM (RNA recognition motif) domain		ATN1, ATXN1, ATXN2, DMRTB1, DVL2, GCA, HNRNPF, HSFX1, KIFAP3, LZTS2, MAGED1, NUMBL, PCBP4, PLEKHA5, PRRC2A, PSMF1, QKI, RBFOX2, RBM24, TNIP1, TNRC4, TSC22D1 (IntAct Database); ATN1, ATXN1, ATXN2, BAT2, DMRTB1, DVL2, GCA, HNRNPF, HSFX2, KIFAP3, LZTS2, MAGED1, NOC2L, NUMBL, PCBP4, PSMF1, QKI, RBM9, RHOXF2, TNIP1, TNRC4 (MINT Database); ATN1, ATXN1, ATXN2, BAT2, DMRTB1, DVL2, GCA, HNRNPF, HSFX1, KIFAP3, LZTS2, MAGED1, NOC2L, NUMBL, PCBP4, PSMF1, QKI, RBM9, RBM24, RHOXF2, TNIP1, TNRC4 (HPRD Database, Direct)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=459842&LLNO=54715,http://www.proteinatlas.org/ENSG00000078328,http://www.hprd.org/summary?hprd_id=16091&isoform_id=16091_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=&ptm_id=12478,12479,12480&loc_id=,		
Fox-2	RBFOX2	RNA binding protein, fox-1 homolog (C. elegans) 2, RTA, fxh, FOX2, RBM9, Fox-2, HNRBP2, HRNBP2, dJ106I20.3	23543	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=23543	O43251	1 RRM (RNA recognition motif) domain		APH1A, ATN1, ATXN1, DAZAP2, ESR1, ESR2, FOX1, MYC, PSMF1, QKI, RBPMS, RERE, RHOXF2, TOLLIP (IntAct Database); ATN1, ATXN1, DAZAP2, DDX5, DMRTB1, ELAVL1, FOX1, GLIS2, HNRNPF, HNRNPH2, HNRNPK, KHDRBS1, PTBP1, QKI, RBM9, RBM22, RBM23, RBM42, RBPMS, RERE, RHOXF2, SF3A1, SMN1, SNRPC, U2AF2 (MINT Database); ATN1, ATXN1, DAZAP2, DMRTB1, ESR1, ESR2, FOX1, QKI, RERE, RBPMS, RHOXF2 (HPRD Database, Direct); CPSF1, CTNNB1, CYTSA, GLIS2, GPSM2, U2AF2, WNK1, XAB2 (HPRD Database, Complex); BRD7, CHAF1A, DAZAP2, DEDD2, DMRTB1, ELAVL2, ESR1, ESR2, GLIS2, GTF2A1L, HNRNPAB, MED7, NR2E3, POLR3D, RBPMS, RHOXF2, TOLLIP, UBC, ZNF137P (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=282998&LLNO=23543,http://www.proteinatlas.org/ENSG00000100320,http://www.hprd.org/summary?hprd_id=15231&isoform_id=15231_6&isoform_name=Isoform_1,http://www.humanproteinpedia.org/Experimental_details?cellexp_id=TE-42136,TE-42137,TE-42140,TE-42141,TE-42144,TE-42145,	http://yeolab.ucsd.edu/yeolab/Papers_files/FOX2.rmsk.BED.gz[PMID:19136955],	
hnRNP A0	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0, HNRPA0.	10949	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=10949	Q13151	2 RRM (RNA recognition motif) domains		ARRB2, ATG12, CCT3, ESR1, GABARAP, GABARAPL2, MAP1LC3A, MAP1LC3B, MTNR1A, MYC (IntAct Database); CCT3, CIRBP, DDX5, HNRNPF, HNRNPH2, HNRNPH3, HNRNPK, MAPK6, SFRS1, SNW1, U2AF2 (MINT Database); CCT3, MAPKAPK2, MTNR1A, MTNR1B (HPRD Database, Direct); CDK9, KHDRBS2, KIAA0101, MAPK6, MEPCE, MYC, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=96996&LLNO=10949,http://www.proteinatlas.org/ENSG00000177733,http://www.hprd.org/summary?hprd_id=17112&isoform_id=17112_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=77359,86876,88459,102611,104496,120589,123758,125774&ptm_id=11802,15033,25628,25629&loc_id=,		
hnRNP A1	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1, HNRPA1, MGC102835	3178	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3178	P09651	2 RRM (RNA recognition motif) domains		ACTB, ARRB1, ARRB2, DHRS2, EIF4A3, ESR1, GABARAP, GABARAPL1, GABARAPL2, GRB2, H2AFX, HMGA1, HNRNPC, IFIT2, IFIT3, MAP1LC3A, MAP1LC3B, MAP3K14, MAPK13, NR0B2, PHYHIP, RBM8A, RIPK3, RPL21, TFEC, TOP1, UPF3A, UPF3B, XRN1 (IntAct Database); KHSRP, PRMT1, SF3A2 (STRING Database); TNPO1 (DIP Database); BAT2, BAT5, EIF2C1, EIF2C2, EIF4E, HNRNPH3, KHDRBS1, MAP3K14, NCBP1, PPIL1, RIPK3, RPL21, SF3A2, SNW1, TRA2B, YWHAZ (MINT Database); BAT2, BAT5, FEN1, NFKBIA, PABPN1, PHYHIP, PRMT1, RPL21, SAFB, SFRS12, SUFU, TNPO1, TTF2, XRN1 (HPRD Database, Direct); DCP1A, DCP2, DDX17, DDX23, DDX5, DDX6, DHX9, EDC3, EDC4, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); ARHGAP23, ARID2, CAPN2, CCNT1, CD4, CDK9, CENPC1, DDX5, DDX17, FEN1, FRMD4A, GTF2A1, GTF2E2, H2AFX, HDAC5, HNRPDL, HNRPA2B1, HNRPAB, HNRPC, HNRPH1, HNRPK, HNRPL, HNRPM, HNRPR, HNRPUL2, HSP90AB1, HSPA2, HSPA9, IGF2BP1, IGF2BP2, IGF2BP3, ILF2, ILF3, KHDRBS2, KHSRP, KIAA0101, KIAA0368, LARP7, LOC341333, LOC440563, MEPCE, MOV10, MRPL37, MRPS27, NFKBIA, NNT, NOP56, NR3C1, PABPC1, PABPC4, PLOD2, PLOD3, PRMT1, PRMT8, PRRC2A, PSMA3, PURA, RBM39, RBMX, ROCK1, RPAP1, RRP1B, SAFB, SAP25, SMN1, SREK1, SRP72, SRRM2, SUMO1, SYNCRIP, SYTL2, TARDBP, TOP1, TOPORS, UBC, UBR1, UBR2, VHL, YTHDF2, YWHAQ, ZFR (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=546261&LLNO=3178,http://www.proteinatlas.org/ENSG00000135486,http://www.hprd.org/summary?hprd_id=01242&isoform_id=01242_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=227,1004,1931,53966,54968,55185,55683,56881,61707,62692,65679,66681,66898,67396,68594,73420,74405,77356,78557,81013,83152,84880,86872,96031,100351,103245,120522,122162,125135&ptm_id=2285,2286,2287,13328,13329,14108,14109,14172,1417,		
hnRNP A2/B1	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1, HNRPA2B1, RNPA2, HNRPA2, HNRPB1, SNRPB1, HNRNPA2, HNRNPB1, FLJ22720, DKFZp779B0244.	3181	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3181	P22626	2 RRM (RNA recognition motif) domains		ACTB, ATG16L1, CDKN2A, ERG, ESR1, GABARAP, GABARAPL1, GABARAPL2, GRB2, HDGF, IFIT2, IFIT3, IQCB1, LIN37, LIN54, MAP1LC3A, MAP1LC3B, MAP1LC3C, MAX, RB1CC1, SMN1, TOB1, TOP1, ULK2 (IntAct Database); SF3A2 (STRING Database); C7orf36, CDC5L, DHX9, MAP4K2, NR4A1, RBM3, SF3A2, SNW1, YWHAZ, ZMAT3, ZMYM2 (MINT Database); CSNK2A1, HNRNPL, SFRS12, SNRNP70, TTF2, VHL, ZMYM2 (HPRD Database, Direct); DDX17, DDX23, DDX5, DHX9, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); CD4, CDK9, CDKN2A, CSNK2A1, CSNK2B, H2AFX, HDAC5, HNRPA1, HNRPH1, HNRPL, KHDRBS2, KIAA0101, MAP4K2, MEPCE, MGMT, NR4A1, PSMA3, SMN1, SREK1, SRRM2, TOP1, UBC, VHL, YAE1D1, YWHAQ, ZMYM2 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=487774&LLNO=3181,http://www.proteinatlas.org/ENSG00000122566,http://www.hprd.org/summary?hprd_id=02526&isoform_id=02526_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=228,731,1932,54416,54697,55054,55492,55787,56149,56834,58178,58286,60760,61516,62112,62952,66129,66410,66767,67205,67500,67862,68547,69891,69999,72473,73229,73825,74665,75705,77355,78556,81012,83151,84879,86871,87609,100305,104144,,		
