#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
AC005258.1	ENSG00000273734.1	ENSG00000273734.1:t:2338752-2338841	0.0039747173016065635;0.23058177956454637;-0.24561159285631828	8.430652842560694e-10;0.6555233130517079;0.7495076399032625	0.03587625600431364;8.142378296417703e-07;2.055228010000576e-08	0.003;0.729;0.267	0.039;0.959;0.002	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr19	+	2334721-2338752;2337625-2338752;2337626-2338751	2334602-2334721;2337443-2337625;2338752-2338841	2337626-2338751	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A2338841-2334602
ATXN7L2	ENSG00000162650.16	ENSG00000162650.16:t:109492586-109492804	0.21626106684843202;-0.216261150959987	0.5616019439458199;0.5616020201955436	8.931411489667687e-05;8.931896006447726e-05	0.639;0.361	0.908;0.092	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr1	+	109491717-109492586;109492104-109492586	109491016-109491717;109492027-109492104;109492586-109492804		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A109492804-109491016
AC015818.9	ENSG00000287490.1	ENSG00000287490.1:s:20416610-20416691	-0.020541769846157923;-0.4384828452710464;0.45936826873017467	0.00014318600105763397;0.9988753193418667;0.9999960877135785	0.0013463448448217674;1.0702660535599762e-08;1.2773848311640763e-12	0.084;0.911;0.004	0.045;0.475;0.482	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;0;0	chr17	+	20416691-20419856;20416691-20424592;20416692-20419855	20416610-20416691;20419856-20420113;20424592-20424783	20416692-20419855	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A20424783-20416610
RAB11FIP3	ENSG00000090565.17	ENSG00000090565.17:t:494915-494970	-0.4131407808932507;-0.013259455223257256;0.4548887199901442	0.9793924063859423;0.0020613217175847872;0.9887333976042363	3.972878455105189e-07;0.0008185395635764703;7.173504951147189e-07	0.514;0.134;0.349	0.097;0.096;0.807	t|1e1.1o1|2e1.1o1|i	False	True	False	3	2	0;0;0	chr16	+	494832-494915;494832-494956;494889-494914	nan-494832;494915-494970	494889-494914	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A494970-494822
RAB11FIP3	ENSG00000090565.17	ENSG00000090565.17:s:494833-494888	-0.3755019341724474;0.3755018842675774	0.9441975003924624;0.9441974202758008	2.1378470067556776e-06;2.1377564882447114e-06	0.694;0.306	0.308;0.692	s|1e1.1o1|i	False	False	False	2	2	0;0	chr16	+	494888-494971;494889-494914	494833-494888;494971-nan	494889-494914	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A494981-494833
RIC8B	ENSG00000111785.21	ENSG00000111785.21:s:106860268-106860412	0.00021421759958613532;-0.2083900160621026;0.2070247661224301	3.8311761138721194e-06;0.5190481140865442;0.5153626468141563	0.006878179475987789;0.00017185512587336582;0.00017150217151378367	0.008;0.757;0.235	0.010;0.465;0.525	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr12	+	106860412-106868301;106860412-106870823;106860412-106885904	106860268-106860412;106868301-106868423;106870823-106871505;106885904-106889316		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A106889316-106860268
COMMD6	ENSG00000188243.13	ENSG00000188243.13:t:75530311-75530504	-0.2414773533494906;0.2583181027605789;-0.006601555119988416	0.6513275084200907;0.6935833551652296;0.0005521151340797342	1.0333886489966027e-05;1.1481470252111374e-05;0.0011929461215246517	0.450;0.451;0.099	0.162;0.753;0.084	t|1e1.1o1|2e1.1o1|i	False	True	False	3	2	1;1;0	chr13	-	75530408-75537664;75530405-75537664;75530505-75537381	75530311-75530504;75537664-75537675	75530505-75537381	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A75537675-75530311
CTPS2	ENSG00000047230.15	ENSG00000047230.15:t:16702737-16702941	0.018358224506881946;-0.20313287337096242;0.06233562271552258;0.048225929188069075;0.001370677873034941	0.0039804170347192015;0.5195517068582706;0.012923089548952235;0.024355824031121798;5.403917002766487e-07	0.001103422627389411;0.0001129487262834239;0.00048263453051551543;0.0005504049326122556;0.011907822933475722	0.139;0.699;0.034;0.125;0.003	0.185;0.440;0.131;0.222;0.022	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1	True	False	True	5	4	1;0;0;1;1	chrX	-	16702941-16712722;16702941-16712558;16702941-16712413;16702941-16712335;16702941-16711513	16702737-16702941;16711513-16712217;16712335-16712669;16712722-16712936		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A16712936-16702737
AXIN1	ENSG00000103126.15	ENSG00000103126.15:s:352369-352723	0.2130267703708426;-0.21302674507056185	0.5266545466484249;0.5266545104721182	0.0001880341670631499;0.0001880431769719637	0.286;0.714	0.583;0.417	s|1e1.1o2|1e2.1o1	False	False	True	2	3	1;1	chr16	-	347106-352369;314683-352369	314543-314683;346148-347106;352369-352723		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A352723-314543
KIAA0232	ENSG00000170871.12	ENSG00000170871.12:s:6880061-6880121	0.20156513778385535;-0.20156519437451537	0.4862707603384436;0.4862708027046714	0.000155813635447873;0.00015582190736018742	0.644;0.356	0.926;0.074	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr4	+	6880121-6880183;6880121-6880244	6880061-6880121;6880183-nan;6880244-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A6880254-6880061
